,,,,,,Per Game,,,,,,Shooting,,,Advanced,
2011,Cappie Pondexter,2nd,(V),NYL,34,33.9,17.4,4.1,4.7,1.3,0.3,0.402,0.345,0.813,4.2,0.175
2011,Penny Taylor,2nd,(V),PHO,29,29.8,16.7,4.9,4.7,1.7,0.4,0.511,0.402,0.874,5.4,0.298
2010,Tamika Catchings,1st,(V),IND,34,31.4,18.2,7.1,4,2.3,0.9,0.484,0.448,0.849,7.9,0.355
2010,Sylvia Fowles,1st,(V),CHI,34,32,17.8,9.9,1.5,1.1,2.6,0.582,1,0.76,6.9,0.304
2010,Lauren Jackson,1st,(V),SEA,32,31,20.5,8.3,1.2,0.9,1.2,0.462,0.346,0.91,8.3,0.4
2010,Cappie Pondexter,1st,(V),NYL,34,34.3,21.4,4.5,4.9,0.9,0.1,0.483,0.43,0.892,7.3,0.302
2010,Diana Taurasi,1st,(V),PHO,31,32.2,22.6,4.3,4.7,1.2,0.6,0.427,0.374,0.912,3.8,0.185
2010,Sue Bird,2nd,(V),SEA,33,30.5,11.1,2.7,5.8,1.5,0.2,0.434,0.399,0.857,5,0.237
2010,Tina Charles,2nd,(V),CON,34,31,15.5,11.7,1.5,0.7,1.7,0.487,0,0.763,5.2,0.236
2010,Katie Douglas,2nd,(V),IND,34,29.8,13.7,3.4,3.3,1.4,0.4,0.449,0.391,0.831,4.5,0.212
2010,Crystal Langhorne,2nd,(V),WAS,34,34.1,16.3,9.7,1.1,0.9,0.2,0.589,0.167,0.772,6.5,0.269
2010,Angel McCoughtry,2nd,(V),ATL,34,30.7,21.1,4.9,3.1,1.9,0.6,0.408,0.262,0.803,4.1,0.19
2009,Tamika Catchings,1st,(V),IND,34,31.9,15.1,7.2,3.1,2.9,0.5,0.386,0.328,0.873,6.1,0.27
2009,Becky Hammon,1st,(V),SAS,31,33.8,19.5,3.3,5,1.6,0.4,0.447,0.369,0.901,4.5,0.205
2009,Lauren Jackson,1st,(V),SEA,26,32.4,19.2,7,0.8,1.5,1.7,0.463,0.43,0.797,5.9,0.334
2009,Cappie Pondexter,1st,(V),PHO,34,31.6,19.1,4.2,5,0.9,0.4,0.46,0.358,0.881,4.5,0.202
2009,Diana Taurasi,1st,(V),PHO,31,31.5,20.4,5.7,3.5,1.2,1.4,0.461,0.407,0.894,5.4,0.267
2009,Katie Douglas,2nd,(V),IND,31,32.4,17.6,3.9,2.7,1.8,0.2,0.41,0.349,0.861,4.3,0.205
2009,Lisa Leslie,2nd,(V),LAS,23,27.7,15.4,6.6,2.1,0.7,1.4,0.518,0.167,0.722,3,0.228
2009,Deanna Nolan,2nd,(V),DET,33,33.7,16.9,4.3,3.5,1.3,0.3,0.408,0.325,0.784,3.4,0.148
2009,Candace Parker,2nd,(V),LAS,25,32.6,13.1,9.8,2.6,0.6,2.1,0.485,0.208,0.763,3.8,0.223
2009,Sophia Young-Malcolm,2nd,(V),SAS,33,33.7,18.2,6.5,1.6,1.3,0.5,0.454,0.309,0.767,4.2,0.183
2008,Lisa Leslie,1st,(V),LAS,33,32.1,15.1,8.9,2.4,1.5,2.9,0.463,0.235,0.661,4.2,0.188
2008,Candace Parker,1st,(V),LAS,33,33.6,18.5,9.5,3.4,1.3,2.3,0.523,0.423,0.733,7.7,0.333
2008,Diana Taurasi,1st,(V),PHO,34,31.9,24.1,5.1,3.6,1.4,1.4,0.446,0.36,0.87,7.4,0.327
2008,Lindsay Whalen,1st,(V),CON,31,29.3,14,5.6,5.4,1.5,0,0.461,0.338,0.803,6.4,0.339
2008,Sophia Young-Malcolm,1st,(V),SAS,33,31.9,17.5,5.6,2.3,1.6,0.5,0.478,0,0.786,6.2,0.284
2008,Sue Bird,2nd,(V),SEA,33,33.7,14.1,2.5,5.1,1.2,0.1,0.441,0.343,0.871,4.2,0.18
2008,Becky Hammon,2nd,(V),SAS,33,33.4,17.6,2.8,4.9,1.3,0.2,0.39,0.35,0.937,5,0.22
2008,Lauren Jackson,2nd,(V),SEA,21,33,20.2,7,1.2,1.5,1.6,0.452,0.295,0.934,4.8,0.329
2008,Asjha Jones,2nd,(V),CON,33,29.2,17,6.1,2.5,0.6,0.8,0.484,0.217,0.791,4.8,0.238
2008,Deanna Nolan,2nd,(V),DET,34,33.6,15.8,3.9,4.4,1.2,0.3,0.465,0.374,0.863,5.3,0.223
2007,Becky Hammon,1st,(V),SAS,28,33.4,18.8,2.8,5,0.8,0.2,0.445,0.404,0.931,3.7,0.19
2007,Lauren Jackson,1st,(V),SEA,31,32.9,23.8,9.7,1.3,1,2,0.519,0.402,0.883,9.5,0.448
2007,Deanna Nolan,1st,(V),DET,34,34.6,16.3,4.4,3.9,1.4,0.4,0.46,0.393,0.823,5.4,0.221
2007,Diana Taurasi,1st,(V),PHO,32,32,19.2,4.2,4.3,1.4,1.1,0.44,0.367,0.835,4.5,0.213
2007,Penny Taylor,1st,(V),PHO,34,29.7,17.8,6.3,2.9,1.5,0.6,0.499,0.378,0.884,6.4,0.306
2007,Seimone Augustus,2nd,(V),MIN,34,32.1,22.6,4,2.3,1.2,0.6,0.508,0.419,0.873,6.1,0.269
2007,Tamika Catchings,2nd,(V),IND,21,32.3,16.6,9,4.7,3.1,1,0.417,0.311,0.82,5.5,0.39
2007,Katie Douglas,2nd,(V),CON,34,33.3,17,4.6,3.7,1.9,0.3,0.428,0.338,0.779,4.8,0.201
2007,Tina Thompson,2nd,(V),HOU,34,36.3,18.8,6.7,2.8,0.9,0.7,0.42,0.4,0.834,4.5,0.175
2007,Sophia Young-Malcolm,2nd,(V),SAS,33,33.5,16.8,5.8,1.5,1.5,0.4,0.478,0,0.749,5.1,0.219
2006,Tamika Catchings,1st,(V),IND,32,33.5,16.3,7.5,3.7,2.9,1.1,0.407,0.299,0.809,7.7,0.345
2006,Katie Douglas,1st,(V),CON,32,31.3,16.4,3.8,2.5,1.9,0.1,0.443,0.422,0.839,5.6,0.268
2006,Lauren Jackson,1st,(V),SEA,30,28.4,19.4,7.6,1.6,0.8,1.7,0.535,0.377,0.899,8.8,0.497
2006,Lisa Leslie,1st,(V),LAS,34,30.8,20,9.5,3.2,1.5,1.7,0.511,0.4,0.65,6.4,0.291
2006,Diana Taurasi,1st,(V),PHO,34,33.9,25.3,3.6,4.1,1.2,0.8,0.452,0.397,0.781,6.8,0.283
2006,Seimone Augustus,2nd,(V),MIN,34,33.1,21.9,3.8,1.5,0.6,0.5,0.456,0.353,0.897,3.9,0.166
2006,Alana Beard,2nd,(V),WAS,32,31.3,19.2,4.7,3.1,1.8,0.8,0.495,0.363,0.758,5.3,0.253
2006,Cheryl Ford,2nd,(V),DET,32,28.7,13.8,11.3,1.4,1.2,0.8,0.498,,0.648,6.6,0.344
2006,Taj McWilliams-Franklin,2nd,(V),CON,32,31.1,12.8,9.6,2.5,1.1,1,0.498,0.125,0.736,5.2,0.252
2006,Sheryl Swoopes,2nd,(V),HOU,31,35.8,15.5,5.9,3.7,2.1,0.3,0.413,0.278,0.764,4.4,0.19
2005,Sue Bird,1st,(V),SEA,30,34,12.1,2.4,5.9,1,0.2,0.442,0.437,0.855,3.4,0.16
2005,Yolanda Griffith,1st,(V),SAC,34,28.3,13.8,6.6,1.5,1.2,0.9,0.485,,0.707,6.4,0.321
2005,Lauren Jackson,1st,(V),SEA,34,34.6,17.6,9.2,1.7,1.1,2,0.458,0.288,0.834,8.2,0.334
2005,Deanna Nolan,1st,(V),DET,33,36.8,15.9,4.7,3.7,1.7,0.4,0.398,0.311,0.8,4.4,0.176
2005,Sheryl Swoopes,1st,(V),HOU,33,37.1,18.6,3.6,4.3,2,0.8,0.447,0.36,0.85,7.1,0.279
2005,Tamika Catchings,2nd,(V),IND,34,34.5,14.7,7.8,4.2,2.6,0.5,0.383,0.285,0.788,7.1,0.289
2005,Becky Hammon,2nd,(V),NYL,34,34.3,13.9,3.4,4.3,1.8,0.1,0.432,0.365,0.901,4.9,0.202
2005,Lisa Leslie,2nd,(V),LAS,34,32.2,15.2,7.3,2.6,2,2.1,0.44,0.206,0.586,3.5,0.154
2005,Taj McWilliams-Franklin,2nd,(V),CON,34,31.9,13.9,7.3,1.9,1.1,0.7,0.495,0.222,0.787,6.3,0.278
2005,Diana Taurasi,2nd,(V),PHO,33,33,16,4.2,4.5,1.2,0.8,0.41,0.313,0.801,3.9,0.173
2004,Sue Bird,1st,(V),SEA,34,33.4,12.9,3.1,5.4,1.5,0.1,0.463,0.438,0.859,6,0.254
2004,Lauren Jackson,1st,(V),SEA,31,34.5,20.5,6.7,1.6,1,2,0.478,0.452,0.811,7.9,0.356
2004,Lisa Leslie,1st,(V),LAS,34,33.8,17.6,9.9,2.6,1.5,2.9,0.494,0.273,0.712,6.8,0.283
2004,Diana Taurasi,1st,(V),PHO,34,33.2,17,4.4,3.9,1.3,0.7,0.416,0.33,0.76,4.7,0.2
2004,Tina Thompson,1st,(V),HOU,26,36.3,20,6,1.8,0.8,0.9,0.402,0.407,0.789,3.7,0.191
2004,Swin Cash,2nd,(V),DET,32,34.5,16.4,6.5,4.2,1.4,0.9,0.469,0.348,0.721,5.9,0.258
2004,Tamika Catchings,2nd,(V),IND,34,33.8,16.7,7.3,3.4,2,1.1,0.385,0.335,0.854,7.2,0.3
2004,Yolanda Griffith,2nd,(V),SAC,34,30.3,14.5,7.2,1.2,2.2,1.2,0.519,0,0.753,8,0.371
2004,Nykesha Sales,2nd,(V),CON,34,32.2,15.2,4,2.9,2.2,0.2,0.432,0.318,0.727,3.6,0.158
2004,Nikki Teasley,2nd,(V),LAS,34,32.5,9.9,3.4,6.1,1.2,0.2,0.388,0.412,0.765,3.5,0.151
2003,Sue Bird,1st,(V),SEA,34,33.4,12.4,3.3,6.5,1.4,0,0.421,0.35,0.884,3.9,0.166
2003,Tamika Catchings,1st,(V),IND,34,35.6,19.7,8,3.4,2.1,1,0.432,0.387,0.847,8,0.318
2003,Lauren Jackson,1st,(V),SEA,33,33.6,21.2,9.3,1.9,1.2,1.9,0.483,0.317,0.825,9.2,0.4
2003,Lisa Leslie,1st,(V),LAS,23,34.4,18.4,10,2,1.3,2.7,0.442,0.324,0.617,3.2,0.193
2003,Katie Smith,1st,(V),MIN,34,34.9,18.2,4.1,2.5,0.7,0.2,0.457,0.39,0.881,6.8,0.274
2003,Swin Cash,2nd,(V),DET,33,33.2,16.6,5.8,3.6,1.3,0.7,0.453,0.3,0.682,4.9,0.214
2003,Cheryl Ford,2nd,(V),DET,32,29.9,10.8,10.4,0.8,1,1,0.474,,0.682,4,0.199
2003,Deanna Nolan,2nd,(V),DET,32,29.8,12.4,3.3,2.6,1.3,0.4,0.436,0.421,0.792,4.1,0.206
2003,Sheryl Swoopes,2nd,(V),HOU,31,35,15.6,4.6,3.9,2.5,0.8,0.403,0.304,0.887,5.3,0.234
2003,Nikki Teasley,2nd,(V),LAS,34,35,11.5,5.1,6.3,1.1,0.4,0.389,0.424,0.875,4.4,0.179
2002,Sue Bird,1st,(V),SEA,32,35,14.4,2.6,6,1.7,0.1,0.403,0.401,0.911,4.8,0.206
2002,Tamika Catchings,1st,(V),IND,32,36.5,18.6,8.6,3.7,2.9,1.3,0.42,0.396,0.815,9.2,0.378
2002,Lisa Leslie,1st,(V),LAS,31,34.2,16.9,10.4,2.7,1.5,2.9,0.466,0.324,0.727,5.9,0.269
2002,Mwadi Mabika,1st,(V),LAS,32,32.8,16.8,5.2,2.9,1.2,0.3,0.423,0.366,0.839,5.9,0.271
2002,Sheryl Swoopes,1st,(V),HOU,32,36.1,18.5,4.9,3.3,2.8,0.7,0.434,0.288,0.825,7.1,0.296
2002,Chamique Holdsclaw,2nd,(V),WAS,20,31.7,19.9,11.6,2.3,1,0.3,0.452,0.393,0.83,4.5,0.339
2002,Shannon Johnson,2nd,(V),ORL,31,35.8,16.1,4.2,5.3,1.6,0.2,0.404,0.273,0.766,4.2,0.183
2002,Tari Phillips,2nd,(V),NYL,32,31.5,14.1,7,1.3,1.8,0.4,0.491,0,0.675,3.5,0.168
2002,Katie Smith,2nd,(V),MIN,31,36.7,16.5,3,2.5,1,0.2,0.404,0.33,0.824,4.7,0.2
2002,Tina Thompson,2nd,(V),HOU,29,36.3,16.7,7.5,2.1,0.9,0.7,0.431,0.37,0.823,4.9,0.222
2001,Janeth Arcain,1st,(V),HOU,32,36.1,18.5,4.3,2.9,1.9,0.1,0.426,0.333,0.9,6.2,0.259
2001,Merlakia Jones,1st,(V),CLE,30,33.3,13.5,5.5,1.5,1,0.1,0.438,0.265,0.793,4.5,0.217
2001,Lisa Leslie,1st,(V),LAS,31,33.3,19.5,9.6,2.4,1.1,2.3,0.473,0.367,0.736,7,0.327
2001,Katie Smith,1st,(V),MIN,32,38.6,23.1,3.8,2.2,0.7,0.2,0.393,0.354,0.895,7.5,0.292
2001,Natalie Williams,1st,(V),UTA,31,34.3,14.2,9.9,1.8,1.3,0.3,0.49,0,0.729,5.1,0.232
2001,Tamecka Dixon,2nd,(V),LAS,29,31.9,11.7,2.9,3.9,0.9,0.1,0.417,0.176,0.791,2.2,0.112
2001,Yolanda Griffith,2nd,(V),SAC,32,33.7,16.2,11.2,1.7,2,1.2,0.522,,0.72,8.4,0.373
2001,Chamique Holdsclaw,2nd,(V),WAS,29,33.6,16.8,8.8,2.3,1.5,0.5,0.4,0.239,0.682,2.7,0.134
2001,Ticha Penicheiro,2nd,(V),SAC,23,32.3,6.3,3.7,7.5,1.7,0.3,0.339,0.262,0.766,2.3,0.148
2001,Tina Thompson,2nd,(V),HOU,30,36.7,19.3,7.8,1.9,1,0.7,0.377,0.293,0.84,5,0.216
2000,Cynthia Cooper,1st,(V),HOU,31,35,17.7,2.7,5,1.3,0.2,0.459,0.355,0.875,7,0.311
2000,Lisa Leslie,1st,(V),LAS,32,32.1,17.8,9.6,1.9,1,2.3,0.458,0.219,0.824,6.1,0.286
2000,Ticha Penicheiro,1st,(V),SAC,30,31.2,6.9,3,7.9,2.3,0.2,0.368,0.2,0.579,3.1,0.161
2000,Sheryl Swoopes,1st,(V),HOU,31,35.2,20.7,6.3,3.8,2.8,1.1,0.506,0.374,0.821,9.8,0.433
2000,Natalie Williams,1st,(V),UTA,29,35.8,18.7,11.6,1.8,1.2,0.6,0.49,0.6,0.798,6.4,0.296
2000,Yolanda Griffith,2nd,(V),SAC,32,32.1,16.3,10.3,1.5,2.6,1.9,0.535,,0.706,7.8,0.365
2000,Shannon Johnson,2nd,(V),ORL,32,35.2,11.9,4.8,5.3,1.8,0.2,0.395,0.333,0.743,3.3,0.142
2000,Betty Lennox,2nd,(V),MIN,32,30.8,16.9,5.6,2.6,1.7,0.3,0.427,0.396,0.8,3.7,0.182
2000,Katie Smith,2nd,(V),MIN,32,37.3,20.2,2.9,2.8,1.4,0.2,0.421,0.379,0.869,6.4,0.256
2000,Tina Thompson,2nd,(V),HOU,32,34,16.9,7.7,1.5,1.5,0.8,0.469,0.417,0.837,7.2,0.316
2000,Teresa Weatherspoon,2nd,(V),NYL,32,33.7,6.4,3.4,6.4,2,0.2,0.438,0.25,0.741,3.7,0.165
1999,Cynthia Cooper,1st,(V),HOU,31,35.5,22.1,2.8,5.2,1.4,0.4,0.463,0.335,0.891,9.2,0.402
1999,Yolanda Griffith,1st,(V),SAC,29,33.8,18.8,11.3,1.6,2.5,1.9,0.541,0,0.617,8.1,0.397
1999,Ticha Penicheiro,1st,(V),SAC,32,35,7.3,4.8,7.1,2.1,0.2,0.32,0.158,0.664,1,0.042
1999,Sheryl Swoopes,1st,(V),HOU,32,34.4,18.3,6.3,4,2.4,1.4,0.462,0.337,0.82,8.1,0.353
1999,Natalie Williams,1st,(V),UTA,28,34.1,18,9.2,0.9,1.4,0.8,0.519,0,0.754,4.9,0.248
1999,Chamique Holdsclaw,2nd,(V),WAS,31,34.2,16.9,7.9,2.4,1.2,0.9,0.437,0.172,0.773,3.1,0.141
1999,Shannon Johnson,2nd,(V),ORL,32,35.8,14,4.7,4.4,1.7,0.4,0.447,0.364,0.686,3.5,0.146
1999,Lisa Leslie,2nd,(V),LAS,32,29.1,15.6,7.8,1.8,1.1,1.5,0.467,0.423,0.731,4.4,0.227
1999,Tina Thompson,2nd,(V),HOU,32,33.6,12.2,6.4,0.9,1,1,0.419,0.351,0.782,3.8,0.171
1999,Teresa Weatherspoon,2nd,(V),NYL,32,33.9,7.2,3.3,6.4,2.4,0.1,0.421,0.378,0.679,4.2,0.185
1998,Cynthia Cooper,1st,(V),HOU,30,35,22.7,3.7,4.4,1.6,0.4,0.446,0.4,0.854,10,0.458
1998,Jennifer Gillom,1st,(V),PHO,30,32.1,20.9,7.3,1.4,1.7,0.3,0.465,0.378,0.703,6,0.301
1998,Suzie McConnell Serio,1st,(V),CLE,28,31.5,8.6,2.2,6.4,1.8,0.2,0.455,0.408,0.729,2.1,0.112
1998,Sheryl Swoopes,1st,(V),HOU,29,32.3,15.6,5.1,2.1,2.5,0.5,0.427,0.36,0.826,6,0.306
1998,Tina Thompson,1st,(V),HOU,27,32.4,12.7,7.1,0.9,1.1,0.9,0.419,0.359,0.851,5,0.273
1998,Cindy Brown,2nd,(V),DET,30,32.2,11.8,10,1.8,1.7,0.7,0.47,0.328,0.707,5.2,0.261
1998,Lisa Leslie,2nd,(V),LAS,28,32.1,19.6,10.2,2.5,1.5,2.1,0.478,0.391,0.768,5.7,0.306
1998,Eva Nemcova,2nd,(V),CLE,30,32.4,11.9,3.7,2.2,1.1,0.7,0.466,0.452,0.893,3.3,0.165
1998,Andrea Stinson,2nd,(V),CHA,30,34.9,15,4.6,4.5,1.8,0.5,0.418,0.282,0.75,4.2,0.193
1998,Teresa Weatherspoon,2nd,(V),NYL,30,33.4,6.8,4,6.4,3.3,0,0.388,0.327,0.609,3,0.142
1997,Ruthie Bolton,1st,(V),SAC,23,35.3,19.4,5.8,2.6,2.3,0,0.402,0.344,0.768,3.8,0.224
1997,Cynthia Cooper,1st,(V),HOU,28,35.1,22.2,4,4.7,2.1,0.2,0.47,0.414,0.864,9.4,0.462
1997,Lisa Leslie,1st,(V),LAS,28,32.2,15.9,9.5,2.6,1.4,2.1,0.431,0.261,0.598,3.5,0.189
1997,Eva Nemcova,1st,(V),CLE,28,33.7,13.7,3.9,2.4,1.4,0.3,0.473,0.435,0.855,3.8,0.193
1997,Tina Thompson,1st,(V),HOU,28,31.6,13.2,6.6,1.1,0.8,1,0.418,0.37,0.838,4.3,0.234
1997,Jennifer Gillom,2nd,(V),PHO,28,31.2,15.7,5.4,0.8,1.3,0.5,0.434,0.313,0.777,4.5,0.244
1997,Rebecca Lobo,2nd,(V),NYL,28,33.5,12.4,7.3,1.9,0.9,1.8,0.376,0.286,0.61,1.9,0.099
1997,Wendy Palmer,2nd,(V),UTA,28,33.4,15.8,8,1.7,1.7,0.2,0.374,0.25,0.676,2,0.1
1997,Andrea Stinson,2nd,(V),CHA,28,36.1,15.7,5.5,4.4,1.5,0.8,0.447,0.325,0.674,3.8,0.182
1997,Teresa Weatherspoon,2nd,(V),NYL,28,33,7,4.1,6.2,3,0.1,0.467,0.086,0.65,3.5,0.179