,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Year,Player,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2024,Napheesa Collier,(V),MIN,34,34.7,20.4,9.7,3.4,1.9,1.4,0.492,0.31,0.804,7.4,0.3,collina01w
2023,A'ja Wilson,(V),LVA,40,30.7,22.8,9.5,1.6,1.4,2.2,0.557,0.31,0.812,10.4,0.405,wilsoa01w
2022,A'ja Wilson,(V),LVA,36,30,19.5,9.4,2.1,1.4,1.9,0.501,0.373,0.813,6.5,0.289,wilsoa01w
2021,Sylvia Fowles,(V),MIN,31,30.1,16,10.1,1.4,1.8,1.8,0.64,,0.755,6,0.309,fowlesy01w
2020,Candace Parker,(V),LAS,22,30.2,14.7,9.7,4.6,1.2,1.2,0.51,0.396,0.731,3.2,0.235,parkeca01w
2019,Natasha Howard,(V),SEA,34,31.4,18.1,8.2,2.1,2.2,1.7,0.439,0.308,0.81,4.6,0.207,howarna01w
2018,Alana Beard,(V),LAS,30,25.5,4,3.3,1.7,1.5,0.2,0.392,0.4,0.81,1.5,0.094,beardal01w
2017,Alana Beard,(V),LAS,34,30.8,6.9,3.3,2.2,2.1,0.5,0.497,0.316,0.804,3.3,0.152,beardal01w
2016,Sylvia Fowles,(V),MIN,34,28.5,13.9,8.5,1.2,1.3,1.8,0.595,,0.717,6.3,0.311,fowlesy01w
2015,Brittney Griner,(V),PHO,26,30.7,15.1,8.1,1.3,0.3,4,0.565,,0.773,4.8,0.291,grinebr01w
2014,Brittney Griner,(V),PHO,34,30.7,15.6,8,1.6,0.6,3.8,0.578,,0.802,6.8,0.311,grinebr01w
2013,Sylvia Fowles,(V),CHI,32,31.3,16.3,11.5,0.4,0.9,2.4,0.586,,0.685,7.2,0.346,fowlesy01w
2012,Tamika Catchings,(V),IND,34,30.5,17.4,7.6,3.1,2.1,0.9,0.432,0.379,0.864,7.8,0.361,catchta01w
2011,Sylvia Fowles,(V),CHI,34,34.6,20,10.2,0.6,1.2,2,0.591,,0.766,7.4,0.303,fowlesy01w
2010,Tamika Catchings,(V),IND,34,31.4,18.2,7.1,4,2.3,0.9,0.484,0.448,0.849,7.9,0.355,catchta01w
2009,Tamika Catchings,(V),IND,34,31.9,15.1,7.2,3.1,2.9,0.5,0.386,0.328,0.873,6.1,0.27,catchta01w
2008,Lisa Leslie,(V),LAS,33,32.1,15.1,8.9,2.4,1.5,2.9,0.463,0.235,0.661,4.2,0.188,leslili01w
2007,Lauren Jackson,(V),SEA,31,32.9,23.8,9.7,1.3,1,2,0.519,0.402,0.883,9.5,0.448,jacksla01w
2006,Tamika Catchings,(V),IND,32,33.5,16.3,7.5,3.7,2.9,1.1,0.407,0.299,0.809,7.7,0.345,catchta01w
2005,Tamika Catchings,(V),IND,34,34.5,14.7,7.8,4.2,2.6,0.5,0.383,0.285,0.788,7.1,0.289,catchta01w
2004,Lisa Leslie,(V),LAS,34,33.8,17.6,9.9,2.6,1.5,2.9,0.494,0.273,0.712,6.8,0.283,leslili01w
2003,Sheryl Swoopes,(V),HOU,31,35,15.6,4.6,3.9,2.5,0.8,0.403,0.304,0.887,5.3,0.234,swoopsh01w
2002,Sheryl Swoopes,(V),HOU,32,36.1,18.5,4.9,3.3,2.8,0.7,0.434,0.288,0.825,7.1,0.296,swoopsh01w
2001,Debbie Black,(V),MIA,32,29.6,5.6,3.9,3.8,2.6,0.1,0.374,0.15,0.771,3.4,0.172,blackde01w
2000,Sheryl Swoopes,(V),HOU,31,35.2,20.7,6.3,3.8,2.8,1.1,0.506,0.374,0.821,9.8,0.433,swoopsh01w
1999,Yolanda Griffith,(V),SAC,29,33.8,18.8,11.3,1.6,2.5,1.9,0.541,0,0.617,8.1,0.397,griffyo01w
1998,Teresa Weatherspoon,(V),NYL,30,33.4,6.8,4,6.4,3.3,0,0.388,0.327,0.609,3,0.142,weathte01w
1997,Teresa Weatherspoon,(V),NYL,28,33,7,4.1,6.2,3,0.1,0.467,0.086,0.65,3.5,0.179,weathte01w