,,,,,Per Game,,,,,,Shooting,,,Advanced,
Year,Player,Voting,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2024,Tiffany Hayes,(V),LVA,33,21.5,9.5,2.8,2.1,0.8,0.3,0.5,0.402,0.714,3.2,0.219
2023,Alysha Clark,(V),LVA,39,22.5,6.7,3.4,1.1,0.6,0.2,0.444,0.386,0.818,2.6,0.142
2022,Brionna Jones,(V),CON,36,25.1,13.8,5.1,1.2,1.2,0.4,0.569,0,0.844,6,0.318
2021,Kelsey Plum,(V),LVA,26,25.6,14.8,2.5,3.6,1,0,0.437,0.386,0.944,3.2,0.231
2020,Dearica Hamby,(V),LVA,22,28.3,13,7.1,2.7,1.7,0.2,0.539,0.474,0.716,3,0.232
2019,Dearica Hamby,(V),LVA,34,24.8,11,7.6,1.9,1,0.4,0.488,0.321,0.718,3.6,0.203
2018,Jonquel Jones,(V),CON,34,20.5,11.8,5.5,1.7,0.4,1.2,0.55,0.467,0.671,4.2,0.291
2017,Sugar Rodgers,(V),NYL,33,25.6,10.5,3.8,2.3,0.9,0.5,0.339,0.342,0.815,1.7,0.097
2016,Jantel Lavender,(V),LAS,34,19.4,9.6,3.6,1.3,0.3,0.5,0.538,0,0.683,2.1,0.151
2015,Allie Quigley,(V),CHI,32,22.5,11.1,1.8,1.7,0.4,0.5,0.431,0.34,0.826,1.5,0.098
2014,Allie Quigley,(V),CHI,34,24.8,11.2,2.2,1.9,0.7,0.2,0.444,0.387,0.879,1.5,0.083
2013,Riquna Williams,(V),TUL,27,22.7,15.6,2.4,1.8,1,0.3,0.397,0.381,0.9,2.8,0.218
2012,Renee Montgomery,(V),CON,34,24,11.6,1.9,2.6,1,0.1,0.348,0.364,0.848,1.8,0.108
2011,DeWanna Bonner,(V),PHO,34,25.2,10.7,7,0.8,1,1.1,0.43,0.343,0.909,3.8,0.213
2010,DeWanna Bonner,(V),PHO,32,25.4,12,6.1,1.3,0.7,1.2,0.465,0.358,0.84,2.8,0.167
2009,DeWanna Bonner,(V),PHO,34,21.3,11.2,5.8,0.4,0.7,0.7,0.457,0.154,0.812,3.2,0.214
2008,Candice Wiggins,(V),MIN,30,27.5,15.7,3.2,3,1.8,0.2,0.403,0.306,0.817,4.5,0.26
2007,Plenette Pierson,(V),DET,34,25.2,11.6,5.8,1.7,0.8,0.9,0.478,0,0.754,3.6,0.202